Cell	20081128_sulston	20190417_ref-2_JIM529_L2	20181207_JIM529_L4	20181030_JIM529_L2	20181101_JIM529_L4	20190321_ref-2_JIM529_L2	20190423_ref-2_JIM529_L2	20190417_ref-2_JIM529_L8	20190417_ref-2_JIM529_L7
ABalpapppa	319	213.6	NA	261.4	NA	301.1	241.2	228.8	NA
ABalpapppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapppp	259	172.5	NA	208.6	248.1	254	198.1	177.6	NA
ABalpappppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpappppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpp	103	39.8	52.6	44.8	91	81.4	47.8	39.8	48.5
ABalppa	132	64.1	80.9	74.5	122.7	115.5	78.7	67.5	74.5
ABalppaa	171	100.3	124.4	119.7	168.4	164.1	119.7	108.8	112.2
ABalppaaa	234	145.7	171.4	178.5	221.9	222	169.6	157.4	160.8
ABalppaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppaaap	299	205.1	NA	267.7	294.4	297.8	232.3	218.7	NA
ABalppaaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppaap	229	142.3	170.2	174.7	215.7	218.7	171.1	152.4	154.1
ABalppaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppaapp	304	203.5	NA	255.2	295.7	294.4	235.3	210.2	NA
ABalppaappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppaappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppap	171	95.1	114.2	110.7	160.8	159.1	113.7	100.3	107.2
ABalppapa	219	133.9	158.9	160.9	207	208.5	157.5	140.6	147.3
ABalppapaa	299	196.7	NA	251.3	298.1	289.4	233.7	211.9	NA
ABalppapaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppapaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppapap	294	189.9	NA	241.3	283.1	284.3	227.8	203.5	NA
ABalppapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppapapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppapp	214	132.3	155.1	155.8	204.4	208.5	156	138.9	144
ABalppappa	289	191.6	NA	238.7	279.4	289.4	223.3	203.5	NA
ABalppappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppappap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppappp	284	184.9	NA	227.5	271.9	274.2	215.9	196.7	NA
ABalppapppa	409	NA	NA	NA	NA	NA	NA	NA	NA
ABalppapppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppapppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppapppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppp	132	64.1	78.2	73.1	121.5	113.9	77.2	65.8	72.7
ABalpppa	171	95.1	112.9	110.7	158.3	155.7	110.7	98.6	105.5
ABalpppaa	234	140.6	161.4	167.2	212	211.9	159	144	149
ABalpppaaa	314	210.2	NA	261.4	299.5	294.4	230.8	215.3	NA
ABalpppaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppaap	324	208.5	NA	272.8	301.9	299.5	241.2	223.7	NA
ABalpppaapd	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppaapv	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppap	224	132.3	155.1	158.4	207	205.1	153	138.9	142.3
ABalpppapa	299	200.1	NA	241.3	284.4	282.6	220.4	205.1	NA
ABalpppapad	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppapav	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppapp	284	186.6	NA	230	271.9	274.2	211.4	196.7	NA
ABalpppappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppappp	379	NA	NA	NA	NA	NA	282.9	NA	NA
ABalpppapppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppapppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppp	171	91.7	110.3	105.5	155.9	152.4	109.2	95.1	102.1
ABalppppa	220	132.3	152.6	155.8	202	201.8	154.5	138.9	140.6
ABalppppaa	289	193.3	NA	241.3	274.4	280.9	226.3	203.5	NA
ABalppppaad	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppaav	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppap	299	189.9	NA	230	268.2	272.5	214.4	201.8	NA
ABalppppapa	409	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppp	214	125.6	147.5	148.1	197	198.4	149.9	132.3	135.6
ABalpppppa	279	183.2	NA	223.7	268.2	272.5	215.9	196.7	NA
ABalpppppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppppp	259	165.8	NA	202.3	245.6	254	199.6	175.9	NA
ABalppppppa	349	235.5	NA	292.9	NA	NA	279.9	249	NA
ABalppppppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppppp	349	225.4	NA	280.3	NA	NA	269.5	237.2	NA
ABalpppppppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppppppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABar	51	1.7	12	4.6	47.6	34.5	6.1	0	6.8
ABara	73	15.5	29.5	20.6	65	53.7	23.1	13.7	22.4
ABaraa	103	38	52.6	44.8	89.7	81.4	47.8	38	46.7
ABaraaa	132	65.8	82.2	77.2	121.5	113.9	77.2	67.5	72.7
ABaraaaa	171	103.8	128.2	127.5	175.8	169.2	122.8	110.5	112.2
ABaraaaaa	239	170.8	NA	206.1	241.9	249	186.2	179.2	169.2
ABaraaaaaa	324	NA	NA	NA	NA	NA	262	NA	NA
ABaraaaaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaaaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaaaap	329	NA	NA	301.7	NA	NA	265.1	NA	NA
ABaraaaaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaaap	244	159.1	NA	202.3	250.7	250.6	190.7	172.5	167.5
ABaraaaapa	324	NA	NA	301.7	NA	NA	278.4	NA	NA
ABaraaaapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
