Cell	20081128_sulston	20190417_ref-2_JIM529_L2	20181207_JIM529_L4	20181030_JIM529_L2	20181101_JIM529_L4	20190321_ref-2_JIM529_L2	20190423_ref-2_JIM529_L2	20190417_ref-2_JIM529_L8	20190417_ref-2_JIM529_L7
ABalpapppa	107	81.2	NA	105.5	NA	102.7	89.7	94.9	NA
ABalpapppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapppp	47	40.1	NA	52.7	47.4	55.6	46.6	43.6	NA
ABalpappppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpappppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpp	29	22.5	21.8	22.7	23.2	26	23.1	22.5	24.4
ABalppa	28	22.5	27	28.4	30.4	32.4	29.4	26	24.2
ABalppaa	38	34.5	42.2	43.9	44.4	46.8	39.5	39.5	36
ABalppaaa	62	43.5	45.7	57.5	52.3	56.1	48.3	46.9	46.9
ABalppaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppaaap	64	57.7	NA	88	71.2	74.1	61.2	59.6	NA
ABalppaaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppaap	57	40.2	44.4	53.6	46	52.8	49.8	41.9	40.1
ABalppaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppaapp	74	59.5	NA	79.2	78.7	74	62.7	56.1	NA
ABalppaappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppaappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppap	38	29.3	32	34.9	36.8	41.8	33.5	31	31
ABalppapa	47	37.1	43.5	48.9	44.9	47.6	42.3	38.5	38.5
ABalppapaa	79	61.1	NA	89.1	89.9	79.1	74.6	69.6	NA
ABalppapaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppapaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppapap	74	54.3	NA	79.1	74.9	74.1	68.8	61.1	NA
ABalppapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppapapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppapp	42	35.5	39.6	43.8	42.3	47.6	40.8	36.8	35.2
ABalppappa	74	57.6	NA	81.6	73.6	79.1	65.8	62.9	NA
ABalppappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppappap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppappp	69	51	NA	70.5	66.1	64	58.4	56.1	NA
ABalppapppa	124	NA	NA	NA	NA	NA	NA	NA	NA
ABalppapppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppapppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppapppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppp	28	22.5	24.3	26.9	29.2	30.8	27.9	24.2	22.5
ABalpppa	38	29.3	33.3	36.2	35.6	40.1	32	31	31
ABalpppaa	62	43.8	47.2	55.1	52.4	54.5	46.8	43.7	41.8
ABalpppaaa	79	67.8	NA	92.9	86.3	80.7	70.2	69.6	NA
ABalpppaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppaap	89	66.1	NA	104.4	88.6	85.9	80.6	78	NA
ABalpppaapd	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppaapv	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppap	52	35.5	40.8	46.4	47.4	47.6	40.8	38.6	35.1
ABalpppapa	74	66.1	NA	81.6	76.1	75.8	65.9	64.5	NA
ABalpppapad	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppapav	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppapp	59	52.6	NA	70.3	63.6	67.3	56.9	56.1	NA
ABalpppappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppappp	94	NA	NA	NA	NA	NA	69.8	NA	NA
ABalpppapppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppapppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppp	38	25.9	30.7	31	33.2	36.9	30.5	27.5	27.5
ABalppppa	48	38.9	41	48.9	44.9	47.7	43.8	42.1	36.8
ABalppppaa	68	59.4	NA	84.3	71.1	77.3	70.3	62.9	NA
ABalppppaad	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppaav	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppap	78	56	NA	73	65	69	58.4	61.2	NA
ABalppppapa	109	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppp	42	32.1	35.9	41.1	39.9	44.3	39.2	35.5	31.8
ABalpppppa	64	55.9	NA	74.3	70	72.4	64.5	62.7	NA
ABalpppppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppppp	44	38.6	NA	53	47.4	53.9	48.1	42	NA
ABalppppppa	89	68	NA	89.2	NA	NA	78.8	71.4	NA
ABalppppppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalppppppp	89	57.9	NA	76.7	NA	NA	68.5	59.6	NA
ABalpppppppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpppppppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABar	17	0	10.7	NA	14.6	13.9	NA	NA	5.1
ABara	21	12.1	16.1	14.7	16.1	17.4	15.4	12	13.9
ABaraa	29	20.8	21.8	22.7	23.2	26	23.1	22.5	22.6
ABaraaa	28	26	28.3	31.1	30.5	30.8	27.9	27.7	24.2
ABaraaaa	38	36.3	44.7	49	53.1	53.6	44	41.2	37.7
ABaraaaaa	67	65.3	NA	77.4	64.9	78.1	61.8	66.9	55.2
ABaraaaaaa	84	NA	NA	NA	NA	NA	74.4	NA	NA
ABaraaaaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaaaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaaaap	89	NA	NA	94.3	NA	NA	77.5	NA	NA
ABaraaaaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaaap	72	53.6	NA	73.6	73.6	79.7	66.3	60.3	53.6
ABaraaaapa	79	NA	NA	98.1	NA	NA	86.2	NA	NA
ABaraaaapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaaapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaap	38	29.3	33.3	39.9	36.8	41.9	35	31	29.3
ABaraaapa	48	42	49.6	51.3	63.6	56.2	45.3	43.5	40.1
ABaraaapaa	73	66.1	NA	84.1	76.1	79.1	65.7	56.1	NA
ABaraaapaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaapaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaapap	58	49.2	NA	66.5	71.1	57.1	58.3	52.7	NA
ABaraaapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaapapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaapp	59	48.7	50.9	62.4	61.1	66.3	51.3	48.5	40.1
ABaraaappa	72	62.9	NA	83	NA	89.2	74.6	62.9	NA
ABaraaappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaappap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaappp	67	57.8	NA	NA	76.4	72.4	64.2	66.2	NA
ABaraaapppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraaapppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABaraap	28	22.5	27	28.4	29.2	30.8	27.9	26	24.2
ABaraapa	38	31	34.5	37.5	38	40.1	35	29.3	29.3
ABaraapaa	57	38.8	44.5	50	46.1	47.6	42.3	38.7	36.8
ABaraapaaa	69	61.1	NA	79.1	76.1	85.8	73.3	64.6	NA
