paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20110316_mir.1_L3.1	X20110316_mir.1_L2.1	X20110203_RW10890_pal.1_L4.1	X20110125_RW10890_pal.1_L3.1	X20110125_RW10890_pal.1_L4.1	X20101213_RW10889_pal.1_L2.1	X20101213_RW10889_pal.1_L3.1	X20110209_UP2051_mls.2_L1.1	X20110209_UP2051_mls.2_L2.1	X20110209_UP2051_mls.2_L3.1	X20110225_NX68_L3.1	X20110408_RW10425_pha.4_L2.1	X20110927_RW11144_L4.1	X20110929_ceh.43_L1.1	X20110726_RW10713_L1.1	X20110731_RW10434_L1.1	X20111116_RW10226_L4.1	X20110916_ceh.36_L1.1	X20120426_JIM122_L2.1	X20120612_JIM127_L4.1	X20120331_RW10871_L4.1	X20120807_mir.57_L4.1
ABalpaappp 1	73	72	83	68	71	71	74	71	75	75	80	74	76	75	71	68	76	72	72	71	75	71	73	72	83	68	71	71	74	71	75	75	80	74	76	75	71	68	76	72	72	71	75	71
ABalpaapppa NA																																												
ABalpaapppp NA																																												
ABalpap 1	30	30	28	29	30	28	30	29	30	29	31	30	28	28	30	30	28	28	28	28	31	31	30	30	28	29	30	28	30	29	30	29	31	30	28	28	30	30	28	28	28	28	31	31
ABalpapa 1	38	38	36	34	37	37	36	36	35	36	40	36	37	36	38	38	40	39	39	36	38	37	38	38	36	34	37	37	36	36	35	36	40	36	37	36	38	38	40	39	39	36	38	37
ABalpapaa 1	46	47	50	49	47	49	51	48	49	51	49	52	47	49	49	51	48	48	50	52	50	49	46	47	50	49	47	49	51	48	49	51	49	52	47	49	49	51	48	48	50	52	50	49
ABalpapaaa 1	63	65	70	65	64	68	66	63	70	69	63	67	67	64	68	66	70	61	67	66	66	66	63	65	70	65	64	68	66	63	70	69	63	67	67	64	68	66	70	61	67	66	66	66
ABalpapaaaa NA																																												
ABalpapaaap NA																																												
ABalpapaap 1	80	87	91	88	84	88	90	93	82	78	91	88	88	86	81	90	93	77	79	81	81	84	80	87	91	88	84	88	90	93	82	78	91	88	88	86	81	90	93	77	79	81	81	84
ABalpapaapa NA																																												
ABalpapaapp NA																																												
ABalpapap 1	48	49	48	47	47	49	51	46	49	49	47	48	46	49	47	49	46	47	51	50	48	48	48	49	48	47	47	49	51	46	49	49	47	48	46	49	47	49	46	47	51	50	48	48
ABalpapapa 1	72	65	69	63	64	68	67	66	68	65	65	70	65	68	64	68	68	66	64	68	66	66	72	65	69	63	64	68	67	66	68	65	65	70	65	68	64	68	68	66	64	68	66	66
ABalpapapaa NA																																												
ABalpapapap 1																			108		102	116																			108		102	116
ABalpapapapa NA																																												
ABalpapapapp NA																																												
ABalpapapp 1	73	74	78	88	75	74	75	81	81	75	77	78	79	82	76	76	82	77	77	82	81	78	73	74	78	88	75	74	75	81	81	75	77	78	79	82	76	76	82	77	77	82	81	78
ABalpapappa NA																																												
ABalpapappp NA																																												
ABalpapp 1	35	35	32	31	33	34	33	33	33	33	34	34	32	32	33	34	34	36	34	33	33	33	35	35	32	31	33	34	33	33	33	33	34	34	32	32	33	34	34	36	34	33	33	33
ABalpappa 1	41	44	44	44	41	44	46	43	43	47	44	43	44	44	41	44	42	44	43	44	45	41	41	44	44	44	41	44	46	43	43	47	44	43	44	44	41	44	42	44	43	44	45	41
ABalpappaa 1	71	77	86	90	73	71	74	80	81	75	78	85	74	77	73	75	74	73	72	78	74	78	71	77	86	90	73	71	74	80	81	75	78	85	74	77	73	75	74	73	72	78	74	78
ABalpappaaa NA																																												
ABalpappaap 1																			103		100	105																			103		100	105
ABalpappaapa NA																																												
ABalpappaapp NA																																												
ABalpappap 1	58	59	61	58	58	57	61	61	59	60	56	60	53	54	56	58	58	57	55	58	54	57	58	59	61	58	58	57	61	61	59	60	56	60	53	54	56	58	58	57	55	58	54	57
ABalpappapa NA																																												
ABalpappapp NA																																												
ABalpappp 1	41	44	44	40	41	46	44	41	43	46	44	43	42	44	41	44	40	44	46	43	43	43	41	44	44	40	41	46	44	41	43	46	44	43	42	44	41	44	40	44	46	43	43	43
ABalpapppa 1	107	115		120	115	106	107	101	116		115	110	108	118	101	99	108	101	116	106	109	104	107	115		120	115	106	107	101	116		115	110	108	118	101	99	108	101	116	106	109	104
ABalpapppaa NA																																												
ABalpapppap NA																																												
ABalpapppp 1	52	49	53	49	52	51	54	51	51	47	48	52	50	48	50	47	51	52	56	49	52	49	52	49	53	49	52	51	54	51	51	47	48	52	50	48	50	47	51	52	56	49	52	49
ABalpappppa NA																																												
ABalpappppp NA																																												
ABalpp 1	27	27	25	25	30	24	27	27	26	27	28	24	26	24	27	26	26	27	26	25	27	28	27	27	25	25	30	24	27	27	26	27	28	24	26	24	27	26	26	27	26	25	27	28
