paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20110316_mir.1_L3.1	X20110316_mir.1_L2.1	X20110203_RW10890_pal.1_L4.1	X20110125_RW10890_pal.1_L3.1	X20110125_RW10890_pal.1_L4.1	X20101213_RW10889_pal.1_L2.1	X20101213_RW10889_pal.1_L3.1	X20110209_UP2051_mls.2_L1.1	X20110209_UP2051_mls.2_L2.1	X20110209_UP2051_mls.2_L3.1	X20110225_NX68_L3.1	X20110408_RW10425_pha.4_L2.1	X20110927_RW11144_L4.1	X20110929_ceh.43_L1.1	X20110726_RW10713_L1.1	X20110731_RW10434_L1.1	X20111116_RW10226_L4.1	X20110916_ceh.36_L1.1	X20120426_JIM122_L2.1	X20120612_JIM127_L4.1	X20120331_RW10871_L4.1	X20120807_mir.57_L4.1
ABpr 1	15	6	15		9	14	14	15	10	5	6	7	16	14	15	16	15	14	14	15	15	10	15	6	15		9	14	14	15	10	5	6	7	16	14	15	16	15	14	14	15	15	10
ABpra 1	20	19	17	11	17	18	17	17	18	17	18	17	16	16	16	18	17	17	17	16	18	16	20	19	17	11	17	18	17	17	18	17	18	17	16	16	16	18	17	17	17	16	18	16
ABpraa 1	28	26	24	23	26	24	24	26	24	25	29	26	28	24	26	24	25	25	24	24	29	26	28	26	24	23	26	24	24	26	24	25	29	26	28	24	26	24	25	25	24	24	29	26
ABpraaa 1	31	32	29	29	30	31	29	31	30	30	32	30	29	30	32	33	32	31	32	29	31	31	31	32	29	29	30	31	29	31	30	30	32	30	29	30	32	33	32	31	32	29	31	31
ABpraaaa 1	43	40	41	38	39	42	43	38	38	40	43	41	39	40	43	41	43	42	40	40	43	40	43	40	41	38	39	42	43	38	38	40	43	41	39	40	43	41	43	42	40	40	43	40
ABpraaaaa 1	51	53	59	52	52	58	56	53	54	52	50	56	51	52	52	56	52	60	53	52	53	52	51	53	59	52	52	58	56	53	54	52	50	56	51	52	52	56	52	60	53	52	53	52
ABpraaaaaa 1	82	84		83	79	86	82	91	79	82	78	84	83	98	83	82	83	79	81	81	80	81	82	84		83	79	86	82	91	79	82	78	84	83	98	83	82	83	79	81	81	80	81
ABpraaaaaaa NA																																												
ABpraaaaaap NA																																												
ABpraaaaap 1	91	94		97	95		87	99	90	88	88	97	103	99	98	99	93	92	86	91	91	89	91	94		97	95		87	99	90	88	88	97	103	99	98	99	93	92	86	91	91	89
ABpraaaaapd NA																																												
ABpraaaaapv NA																																												
ABpraaaap 1	43	44	44	47	45	46	46	46	46	47	44	45	44	46	46	44	46	48	46	46	45	48	43	44	44	47	45	46	46	46	46	47	44	45	44	46	46	44	46	48	46	46	45	48
ABpraaaapa 1	80	75	77	74	75	82	80	83	81	83	77	77	76	78	76	76	82	72	72	74	76	74	80	75	77	74	75	82	80	83	81	83	77	77	76	78	76	76	82	72	72	74	76	74
ABpraaaapad NA																																												
ABpraaaapav NA																																												
ABpraaaapp 1	67	67	63	67	69	71	64	66	71	67	63	68	64	69	76	68	67	68	64	66	66	66	67	67	63	67	69	71	64	66	71	67	63	68	64	69	76	68	67	68	64	66	66	66
ABpraaaappa NA																																												
ABpraaaappp 1																			86		92	89																			86		92	89
ABpraaaapppa NA																																												
ABpraaaapppp NA																																												
ABpraaap 1	37	37	36	34	35	37	36	35	35	36	38	36	35	35	36	36	37	37	37	36	38	37	37	37	36	34	35	37	36	35	35	36	38	36	35	35	36	36	37	37	37	36	38	37
ABpraaapa 1	48	47	48	49	50	54	51	50	52	49	52	50	49	51	49	49	48	50	50	52	52	51	48	47	48	49	50	54	51	50	52	49	52	50	49	51	49	49	48	50	50	52	52	51
ABpraaapaa 1	83	78	92	85	88	86	84	84	91	82	86	84	84	85	76	82	80	82	81	84	83	74	83	78	92	85	88	86	84	84	91	82	86	84	84	85	76	82	80	82	81	84	83	74
ABpraaapaad NA																																												
ABpraaapaav NA																																												
ABpraaapap 1	72	67	75	78	82	74	74	78	75	69	72	73	74	74	74	78	70	72	67	75	76	71	72	67	75	78	82	74	74	78	75	69	72	73	74	74	74	78	70	72	67	75	76	71
ABpraaapapa 1																			115			113																			115			113
ABpraaapapaa NA																																												
ABpraaapapap NA																																												
ABpraaapapp NA																																												
ABpraaapp 1	40	38	40	38	41	43	41	40	41	42	40	40	39	44	42	39	40	42	40	43	40	43	40	38	40	38	41	43	41	40	41	42	40	40	39	44	42	39	40	42	40	43	40	43
ABpraaappa 1	77	77	85	77	76	83	77	78	82	87	81	84	79	77	81	76	80	74	74	72	76	79	77	77	85	77	76	83	77	78	82	87	81	84	79	77	81	76	80	74	74	72	76	79
ABpraaappaa NA																																												
ABpraaappap NA																																												
ABpraaappp 1	52	51	52	54	51	54	54	54	52	52	51	57	53	52	54	49	51	49	54	53	53	52	52	51	52	54	51	54	54	54	52	52	51	57	53	52	54	49	51	49	54	53	53	52
ABpraaapppa 1		84													99	87	85		83	91	87	84		84													99	87	85		83	91	87	84
ABpraaapppaa NA																																												
ABpraaapppap NA																																												
ABpraaapppp 1		79													78	80	77	79	76	72	78	78		79													78	80	77	79	76	72	78	78
ABpraaappppa NA																																												
ABpraaappppp NA																																												
ABpraap 1	29	30	27	27	28	30	27	29	26	27	32	28	28	28	30	30	31	31	30	29	31	29	29	30	27	27	28	30	27	29	26	27	32	28	28	28	30	30	31	31	30	29	31	29
ABpraapa 1	40	38	36	34	35	40	38	38	37	36	40	37	37	38	41	41	38	41	37	39	40	40	40	38	36	34	35	40	38	38	37	36	40	37	37	38	41	41	38	41	37	39	40	40
ABpraapaa 1	50	49	48	49	47	51	51	50	51	49	49	50	51	51	52	51	48	50	51	50	52	51	50	49	48	49	47	51	51	50	51	49	49	50	51	51	52	51	48	50	51	50	52	51
ABpraapaaa 1	83	82	81	83	78	84	80	80	86	80	86	82	82	83	84	85	83	74	79	80	85	78	83	82	81	83	78	84	80	80	86	80	86	82	82	83	84	85	83	74	79	80	85	78
ABpraapaaaa NA																																												
ABpraapaaap NA																																												
ABpraapaap 1	68	68	75	74	67	72	70	73	70	69	68	67	69	73	73	68	70	67	67	70	70	65	68	68	75	74	67	72	70	73	70	69	68	67	69	73	73	68	70	67	67	70	70	65
ABpraapaapa NA																																												
ABpraapaapp NA																																												
ABpraapap 1	48	46	50	47	45	48	48	46	49	49	49	47	46	51	51	47	46	51	50	50	47	51	48	46	50	47	45	48	48	46	49	49	49	47	46	51	51	47	46	51	50	50	47	51
ABpraapapa 1	83	84	88	86	82	89	85	84	86	82	84	88	88	82	84	87	86	84	93	87	83	86	83	84	88	86	82	89	85	84	86	82	84	88	88	82	84	87	86	84	93	87	83	86
ABpraapapaa NA																																												
ABpraapapap NA																																												
ABpraapapp 1	67	64	64	63	60	64	61	65	65	60	63	62	64	65	61	61	63	63	62	65	60	63	67	64	64	63	60	64	61	65	65	60	63	62	64	65	61	61	63	63	62	65	60	63
ABpraapappa NA																																												
ABpraapappp 1																			102		104	101																			102		104	101
ABpraapapppa NA																																												
ABpraapapppp NA																																												
ABpraapp 1	35	35	33	34	35	35	34	33	33	33	37	34	35	35	36	36	34	37	34	34	36	37	35	35	33	34	35	35	34	33	33	33	37	34	35	35	36	36	34	37	34	34	36	37
ABpraappa 1	51	52	55	52	58	55	54	53	55	54	55	51	51	56	56	54	52	58	55	55	52	56	51	52	55	52	58	55	54	53	55	54	55	51	51	56	56	54	52	58	55	55	52	56
ABpraappaa NA																																												
ABpraappap NA																																												
ABpraappp 1	46	46	47	44	47	49	46	45	44	46	47	46	46	47	47	47	46	52	48	47	47	48	46	46	47	44	47	49	46	45	44	46	47	46	46	47	47	47	46	52	48	47	47	48
ABpraapppa NA																																												
ABpraapppp NA																																												
ABprap 1	27	26	24	23	26	24	24	26	24	25	28	28	26	24	26	24	26	25	24	24	27	26	27	26	24	23	26	24	24	26	24	25	28	28	26	24	26	24	26	25	24	24	27	26
ABprapa 1	31	28	27	29	30	28	27	29	28	27	31	30	29	29	30	30	31	31	30	28	30	29	31	28	27	29	30	28	27	29	28	27	31	30	29	29	30	30	31	31	30	28	30	29
ABprapaa 1	37	43	43	38	40	43	43	40	40	38	38	39	37	38	41	39	38	41	39	37	39	43	37	43	43	38	40	43	43	40	40	38	38	39	37	38	41	39	38	41	39	37	39	43
ABprapaaa 1	49	50	48	49	49	52	49	50	49	50	50	50	47	51	52	49	49	51	46	49	50	49	49	50	48	49	49	52	49	50	49	50	50	50	47	51	52	49	49	51	46	49	50	49
ABprapaaaa 1	83	82	80	78	79	77	75	81	87	80	76	79	77	83	78	80	80	82	84	80	81	81	83	82	80	78	79	77	75	81	87	80	76	79	77	83	78	80	80	82	84	80	81	81
ABprapaaaaa NA																																												
ABprapaaaap 1																					110	105																					110	105
ABprapaaaapa NA																																												
ABprapaaaapp NA																																												
ABprapaaap 1	73	73	81	74	75	74	74	80	78	70	74	75	76	82	80	78	71	75	84	77	72	82	73	73	81	74	75	74	74	80	78	70	74	75	76	82	80	78	71	75	84	77	72	82
ABprapaaapa NA																					115																						115	
ABprapaaapad NA																																												
ABprapaaapav NA																																												
ABprapaaapp NA																																												
ABprapaap 1	53	53	50	52	54	54	52	53	52	54	55	60	52	53	56	54	55	58	53	58	52	54	53	53	50	52	54	54	52	53	52	54	55	60	52	53	56	54	55	58	53	58	52	54
ABprapaapa NA																																												
ABprapaapp NA																																												
ABprapap 1	37	37	36	34	37	37	39	37	35	35	36	34	35	35	36	34	37	37	35	34	36	37	37	37	36	34	37	37	39	37	35	35	36	34	35	35	36	34	37	37	35	34	36	37
ABprapapa 1	51	50	50	47	49	49	52	46	49	47	53	50	49	51	52	51	49	53	53	50	50	49	51	50	50	47	49	49	52	46	49	47	53	50	49	51	52	51	49	53	53	50	50	49
ABprapapaa NA																																												
ABprapapaaa NA																																												
ABprapapaap NA																																												
ABprapapap NA																																												
ABprapapp 1	46	47	47	46	47	48	49	45	47	46	49	47	47	48	47	46	48	48	46	48	48	44	46	47	47	46	47	48	49	45	47	46	49	47	47	48	47	46	48	48	46	48	48	44
ABprapappa NA																																												
ABprapappp 1	96	84	88	95	90	89	90	94	89	90	90	92	91	100	89	85	89	87	86	88	86	85	96	84	88	95	90	89	90	94	89	90	90	92	91	100	89	85	89	87	86	88	86	85
ABprapapppa NA																																												
ABprapapppp 1																					90	82																					90	82
ABprapappppa NA																																												
ABprapappppaa NA																																												
ABprapappppap NA																																												
ABprapappppp NA																																												
ABprapp 1	33	30	29	29	30	30	29	29	30	27	32	28	31	30	30	30	32	30	29	29	30	31	33	30	29	29	30	30	29	29	30	27	32	28	31	30	30	30	32	30	29	29	30	31
ABprappa 1	41	40	38	36	40	42	41	38	36	38	41	39	37	38	38	38	38	42	42	39	41	41	41	40	38	36	40	42	41	38	36	38	41	39	37	38	38	38	38	42	42	39	41	41
ABprappaa 1	50	47	50	47	52	52	51	50	49	47	53	50	51	53	52	52	51	51	50	52	50	51	50	47	50	47	52	52	51	50	49	47	53	50	51	53	52	52	51	51	50	52	50	51
ABprappaaa NA																																												
ABprappaap NA																																												
ABprappap 1	48	49	50	49	50	49	52	46	49	49	53	48	51	55	49	49	49	50	50	50	50	49	48	49	50	49	50	49	52	46	49	49	53	48	51	55	49	49	49	50	50	50	50	49
ABprappapa NA																																												
ABprappapp NA																																												
ABprappp 1	43	41	41	38	40	42	41	42	40	41	41	42	39	40	43	41	40	42	39	42	43	41	43	41	41	38	40	42	41	42	40	41	41	42	39	40	43	41	40	42	39	42	43	41
ABprapppa 1	59	52	53	52	54	57	57	54	54	54	56	56	52	53	56	56	55	56	56	56	58	57	59	52	53	52	54	57	57	54	54	54	56	56	52	53	56	56	55	56	56	56	58	57
ABprapppaa 1		109		99	106		95	99	92	95	97	97	102	99	96	97	115	91	93	100	100	92		109		99	106		95	99	92	95	97	97	102	99	96	97	115	91	93	100	100	92
ABprapppaaa NA																																												
ABprapppaap NA																																												
ABprapppap 1	76	68	70	78	75	68	72	70	73	67	68	74	70	73	69	68	80	68	69	68	75	66	76	68	70	78	75	68	72	70	73	67	68	74	70	73	69	68	80	68	69	68	75	66
ABprapppapa NA																																												
ABprapppapp 1																			106		98	105																			106		98	105
ABprapppappa NA																																												
ABprapppappp NA																																												
ABprapppp 1	56	55	52	56	56	57	56	53	52	54	56	60	56	53	56	54	52	57	55	53	55	56	56	55	52	56	56	57	56	53	52	54	56	60	56	53	56	54	52	57	55	53	55	56
ABprappppa NA																																												
ABprappppp NA																																												
ABprp 1	20	19	17	11	17	18	17	17	18	17	20	19	18	16	17	18	17	18	17	16	18	18	20	19	17	11	17	18	17	17	18	17	20	19	18	16	17	18	17	18	17	16	18	18
ABprpa 1	28	27	25	25	28	24	26	27	26	25	28	26	25	26	26	26	28	27	26	25	27	25	28	27	25	25	28	24	26	27	26	25	28	26	25	26	26	26	28	27	26	25	27	25
ABprpaa 1	32	30	28	29	32	30	29	31	30	30	32	30	31	29	30	32	30	30	28	29	31	31	32	30	28	29	32	30	29	31	30	30	32	30	31	29	30	32	30	30	28	29	31	31
ABprpaaa 1	37	38	35	34	35	38	39	36	36	38	37	35	37	34	36	37	38	36	37	34	36	37	37	38	35	34	35	38	39	36	36	38	37	35	37	34	36	37	38	36	37	34	36	37
ABprpaaaa 1	45	44	44	46	43	48	44	46	46	49	44	48	46	46	49	44	46	47	48	48	47	48	45	44	44	46	43	48	44	46	46	49	44	48	46	46	49	44	46	47	48	48	47	48
ABprpaaaaa 1	73	76	80	81	77	82	79	80	78	82	75	75	84	79	78	82	77	84	81	80	78	79	73	76	80	81	77	82	79	80	78	82	75	75	84	79	78	82	77	84	81	80	78	79
ABprpaaaaaa NA																																												
ABprpaaaaap NA																																												
ABprpaaaap 1	68	70	70	70	64	75	72	66	73	65	65	68	70	69	68	66	72	70	71	68	66	68	68	70	70	70	64	75	72	66	73	65	65	68	70	69	68	66	72	70	71	68	66	68
ABprpaaaapa NA																																												
ABprpaaaapp NA																																												
ABprpaaap 1	46	47	48	47	45	48	49	46	46	46	49	48	46	46	49	46	48	48	46	49	45	48	46	47	48	47	45	48	49	46	46	46	49	48	46	46	49	46	48	48	46	49	45	48
ABprpaaapa 1	93	92	94	92	88	95	94	94	95	92	89	95	94	102	89	99	101	89	93	100	91	90	93	92	94	92	88	95	94	94	95	92	89	95	94	102	89	99	101	89	93	100	91	90
ABprpaaapaa NA																																												
ABprpaaapap NA																																												
ABprpaaapp 1	72	65	64	67	67	66	69	71	71	59	65	65	67	69	70	71	67	66	67	65	65	65	72	65	64	67	67	66	69	71	71	59	65	65	67	69	70	71	67	66	67	65	65	65
ABprpaaappa 1																			118		120	120																			118		120	120
ABprpaaappaa NA																																												
ABprpaaappap NA																																												
ABprpaaappp NA																																												
ABprpaap 1	35	37	33	34	35	37	36	35	35	36	37	34	34	34	35	36	38	36	35	36	35	35	35	37	33	34	35	37	36	35	35	36	37	34	34	34	35	36	38	36	35	36	35	35
ABprpaapa 1	50	49	48	51	49	52	51	50	51	49	50	48	49	49	51	51	48	48	50	50	48	49	50	49	48	51	49	52	51	50	51	49	50	48	49	49	51	51	48	48	50	50	48	49
ABprpaapaa 1	78	76	72	78	82	80	74	80	76	77	74	77	72	77	73	75	76	77	79	77	71	74	78	76	72	78	82	80	74	80	76	77	74	77	72	77	73	75	76	77	79	77	71	74
ABprpaapaaa NA																																												
ABprpaapaap NA																																												
ABprpaapap 1	76	76	75	78	77	75	80	80	75	77	71	74	79	74	71	78	82	75	76	77	70	78	76	76	75	78	77	75	80	80	75	77	71	74	79	74	71	78	82	75	76	77	70	78
ABprpaapapa NA																																												
ABprpaapapp NA																																												
ABprpaapp 1	46	46	42	46	43	49	48	48	46	46	46	43	44	47	49	47	43	44	46	49	45	48	46	46	42	46	43	49	48	48	46	46	46	43	44	47	49	47	43	44	46	49	45	48
ABprpaappa 1	75	70	70	74	73	75	70	70	73	72	74	72	70	73	68	70	70	72	76	69	70	76	75	70	70	74	73	75	70	70	73	72	74	72	70	73	68	70	70	72	76	69	70	76
ABprpaappaa NA																																												
ABprpaappap NA																																												
ABprpaappp 1	72	70	66	70	67	72	69	71	70	69	69	70	74	68	69	70	67	71	64	72	66	73	72	70	66	70	67	72	69	71	70	69	69	70	74	68	69	70	67	71	64	72	66	73
ABprpaapppa NA																																												
ABprpaapppp 1																			115		94	105																			115		94	105
ABprpaappppa NA																																												
ABprpaappppp NA																																												
ABprpap 1	31	29	28	29	30	28	29	29	28	29	32	28	31	29	28	30	29	30	28	28	30	29	31	29	28	29	30	28	29	29	28	29	32	28	31	29	28	30	29	30	28	28	30	29
ABprpapa 1	38	37	36	36	37	37	38	36	36	35	37	36	37	34	36	37	40	37	35	34	38	37	38	37	36	36	37	37	38	36	36	35	37	36	37	34	36	37	40	37	35	34	38	37
ABprpapaa 1	50	50	53	52	49	54	54	53	51	52	52	50	51	52	56	52	49	53	51	52	50	52	50	50	53	52	49	54	54	53	51	52	52	50	51	52	56	52	49	53	51	52	50	52
ABprpapaaa 1	78	73	81	78	80	74	84	74	79	74	74	84	74	89	79	82	73	74	69	78	76	76	78	73	81	78	80	74	84	74	79	74	74	84	74	89	79	82	73	74	69	78	76	76
ABprpapaaaa NA																																												
ABprpapaaap NA																																												
ABprpapaap 1	76	76	80	76	84	75	82	78	79	77	75	80	76	79	76	76	74	79	76	75	76	78	76	76	80	76	84	75	82	78	79	77	75	80	76	79	76	76	74	79	76	75	76	78
ABprpapaapa NA																																												
ABprpapaapp NA																																												
ABprpapap 1	45	47	48	49	45	51	49	48	49	50	47	48	49	48	51	49	46	50	50	49	48	48	45	47	48	49	45	51	49	48	49	50	47	48	49	48	51	49	46	50	50	49	48	48
ABprpapapa 1	65	68	67	69	66	69	67	66	68	65	63	67	67	65	66	70	67	66	69	66	66	65	65	68	67	69	66	69	67	66	68	65	63	67	67	65	66	70	67	66	69	66	66	65
ABprpapapaa NA																																												
ABprpapapap NA																																												
ABprpapapp 1	68	71	70	69	69	69	70	70	73	67	65	72	70	67	64	71	70	70	69	68	66	65	68	71	70	69	69	69	70	70	73	67	65	72	70	67	64	71	70	70	69	68	66	65
ABprpapappa NA																																												
ABprpapappp NA																																												
ABprpapp 1	33	35	33	34	33	35	36	35	35	35	35	34	35	34	36	34	37	36	34	34	35	37	33	35	33	34	33	35	36	35	35	35	35	34	35	34	36	34	37	36	34	34	35	37
ABprpappa 1	46	44	48	46	47	51	46	46	46	47	46	43	44	47	49	47	45	48	48	47	47	48	46	44	48	46	47	51	46	46	46	47	46	43	44	47	49	47	45	48	48	47	47	48
ABprpappaa 1	65	68	62	68	62	68	70	71	68	69	65	69	67	64	69	68	66	70	66	68	66	66	65	68	62	68	62	68	70	71	68	69	65	69	67	64	69	68	66	70	66	68	66	66
ABprpappaaa NA																																												
ABprpappaap NA																																												
ABprpappap 1	68	68	70	72	69	68	72	68	70	69	65	70	67	70	66	66	67	73	62	72	73	66	68	68	70	72	69	68	72	68	70	69	65	70	67	70	66	66	67	73	62	72	73	66
ABprpappapa NA																																												
ABprpappapp NA																																												
ABprpappp 1	46	46	48	47	49	52	46	50	47	47	49	43	46	48	49	47	46	48	46	47	48	54	46	46	48	47	49	52	46	50	47	47	49	43	46	48	49	47	46	48	46	47	48	54
ABprpapppa 1	73	71	74	70	71	75	70	76	71	72	69	72	72	76	69	75	74	77	76	81	74	73	73	71	74	70	71	75	70	76	71	72	69	72	72	76	69	75	74	77	76	81	74	73
ABprpapppaa NA																																												
ABprpapppap NA																																												
ABprpapppp 1	68	71	70	70	75	71	72	73	70	75	69	74	70	74	68	68	70	71	67	74	70	70	68	71	70	70	75	71	72	73	70	75	69	74	70	74	68	68	70	71	67	74	70	70
ABprpappppa NA																																												
ABprpappppp NA																																												
ABprpp 1	28	27	27	27	30	27	26	27	26	25	28	26	26	27	26	26	28	27	26	27	27	26	28	27	27	27	30	27	26	27	26	25	28	26	26	27	26	26	28	27	26	27	27	26
ABprppa 1	32	32	28	29	32	29	32	31	31	32	34	30	31	31	30	33	30	32	30	29	33	33	32	32	28	29	32	29	32	31	31	32	34	30	31	31	30	33	30	32	30	29	33	33
ABprppaa 1	44	43	39	40	40	43	41	43	40	41	43	42	42	39	43	39	41	40	40	40	40	40	44	43	39	40	40	43	41	43	40	41	43	42	42	39	43	39	41	40	40	40	40	40
ABprppaaa 1	51	55	53	54	54	55	57	54	54	54	55	55	56	55	56	54	52	55	55	53	55	56	51	55	53	54	54	55	57	54	54	54	55	55	56	55	56	54	52	55	55	53	55	56
ABprppaaaa 1	60	66	63	60	62	60	62	63	62	59	63	59	64	62	63	60	57	62	61	59	58	62	60	66	63	60	62	60	62	63	62	59	63	59	64	62	63	60	57	62	61	59	58	62
ABprppaaaaa NA																																												
ABprppaaaap 1																			93		86	92																			93		86	92
ABprppaaaapa NA																																												
ABprppaaaapp NA																																												
ABprppaaap NA																																												
ABprppaap 1	50	47	50	47	49	52	51	51	46	51	50	50	49	48	51	51	48	55	50	49	52	54	50	47	50	47	49	52	51	51	46	51	50	50	49	48	51	51	48	55	50	49	52	54
ABprppaapa 1	85	89	83	88	82	85	87	81	91	80	81	85	83	90	79	82	86	84	79	81	90	84	85	89	83	88	82	85	87	81	91	80	81	85	83	90	79	82	86	84	79	81	90	84
ABprppaapaa NA																																												
ABprppaapap NA																																												
ABprppaapp 1	76	72	78	79	73	72	80	78	86	80	71	74	74	79	83	71	77	80	74	78	72	73	76	72	78	79	73	72	80	78	86	80	71	74	74	79	83	71	77	80	74	78	72	73
ABprppaappa NA																																												
ABprppaappp NA																																												
ABprppap 1	40	41	38	36	36	37	38	38	36	38	37	39	37	35	38	37	37	37	37	36	38	38	40	41	38	36	36	37	38	38	36	38	37	39	37	35	38	37	37	37	37	36	38	38
ABprppapa 1	50	49	45	47	47	51	48	50	48	49	52	51	49	47	51	47	48	48	51	47	50	51	50	49	45	47	47	51	48	50	48	49	52	51	49	47	51	47	48	48	51	47	50	51
ABprppapaa 1	67	65	66	65	66	74	69	68	70	65	68	70	70	69	71	66	70	70	71	72	70	70	67	65	66	65	66	74	69	68	70	65	68	70	70	69	71	66	70	70	71	72	70	70
ABprppapaaa NA																																												
ABprppapaaaa NA																																												
ABprppapaaap NA																																												
ABprppapaap NA																																												
ABprppapap 1	95	93	83	88	88	86	82	89	94	85	92	89	98	108	89	90	95	89	93	87	99	84	95	93	83	88	88	86	82	89	94	85	92	89	98	108	89	90	95	89	93	87	99	84
ABprppapapa NA																																												
ABprppapapp NA																																												
ABprppapp 1	48	52	52	54	50	58	52	54	54	54	56	55	52	52	56	56	52	55	51	55	52	56	48	52	52	54	50	58	52	54	54	54	56	55	52	52	56	56	52	55	51	55	52	56
ABprppappa 1	80	79	77	74	77	75	72	80	78	72	75	75	83	86	73	72	76	80	76	77	81	74	80	79	77	74	77	75	72	80	78	72	75	75	83	86	73	72	76	80	76	77	81	74
ABprppappaa NA																																												
ABprppappap NA																																												
ABprppappp 1	90	90	91	94	93	88	92	86	89	93	88	92	93	106	94	85	89	91	88	87	90	89	90	90	91	94	93	88	92	86	89	93	88	92	93	106	94	85	89	91	88	87	90	89
ABprppapppa NA																																												
ABprppapppp NA																																												
ABprppp 1	31	30	27	27	30	29	30	29	30	30	31	30	31	30	30	30	29	31	28	28	30	30	31	30	27	27	30	29	30	29	30	30	31	30	31	30	30	30	29	31	28	28	30	30
ABprpppa 1	37	37	36	36	35	37	36	38	36	35	37	35	37	35	36	37	37	38	37	36	36	38	37	37	36	36	35	37	36	38	36	35	37	35	37	35	36	37	37	38	37	36	36	38
ABprpppaa 1	50	49	47	47	49	48	49	48	49	47	50	52	51	53	49	49	50	51	51	49	50	49	50	49	47	47	49	48	49	48	49	47	50	52	51	53	49	49	50	51	51	49	50	49
ABprpppaaa 1	73	76	80	79	75	75	80	80	75	74	72	74	84	82	76	82		80	77	74	73	74	73	76	80	79	75	75	80	80	75	74	72	74	84	82	76	82		80	77	74	73	74
ABprpppaaaa NA																																												
ABprpppaaap NA																																												
ABprpppaap 1	78	79	77	83	75	81	80	83	76	75	68	78	81	86	81	82	76	77	74	78	75	74	78	79	77	83	75	81	80	83	76	75	68	78	81	86	81	82	76	77	74	78	75	74
ABprpppaapa NA																																												
ABprpppaapaa NA																																												
ABprpppaapap NA																																												
ABprpppaapp NA																																												
ABprpppap 1	51	47	50	49	49	52	49	50	49	49	49	55	51	52	49	49	49	48	50	52	50	51	51	47	50	49	49	52	49	50	49	49	49	55	51	52	49	49	49	48	50	52	50	51
ABprpppapa 1	55	54	52	56	55	57	56	56	56	52	54	54	55	55	53	51		55	52	52	52	54	55	54	52	56	55	57	56	56	56	52	54	54	55	55	53	51		55	52	52	52	54
ABprpppapaa NA																																												
ABprpppapap NA																																												
ABprpppapp NA																																												
ABprpppp 1	37	37	35	34	35	37	34	36	35	35	37	35	35	35	35	36	36	37	34	36	35	37	37	37	35	34	35	37	34	36	35	35	37	35	35	35	35	36	36	37	34	36	35	37
ABprppppa 1	48	47	44	44	45	46	44	46	44	47	46	48	46	45	46	44	45	50	46	50	48	51	48	47	44	44	45	46	44	46	44	47	46	48	46	45	46	44	45	50	46	50	48	51
ABprppppaa 1	68	70	74	72	73	69	76	73	73	75	71	70	77	74	73	71	70	71	71	75	70	70	68	70	74	72	73	69	76	73	73	75	71	70	77	74	73	71	70	71	71	75	70	70
ABprppppaaa NA																																												
ABprppppaap NA																																												
ABprppppap 1	65	70	67	70	69	75	70	68	72	69	65	70	70	68	68	68	71	66	69	70	66	71	65	70	67	70	69	75	70	68	72	69	65	70	70	68	68	68	71	66	69	70	66	71
ABprppppapa NA																																												
ABprppppapp NA																																												
ABprppppp 1	51	46	48	49	47	49	48	50	51	49	49	50	49	48	51	49	48	50	45	50	52	54	51	46	48	49	47	49	48	50	51	49	49	50	49	48	51	49	48	50	45	50	52	54
ABprpppppa 1	90	82	86	81	84	80	84	86	94	78	83	84	82	98	86	90	82	93	81	87	89	76	90	82	86	81	84	80	84	86	94	78	83	84	82	98	86	90	82	93	81	87	89	76
ABprpppppaa NA																																												
ABprpppppap NA																																												
ABprpppppp 1	65	74	67	67	64	64	66	73	73	70	68	70	74	72	66	70	66	65	64	65	70	68	65	74	67	67	64	64	66	73	73	70	68	70	74	72	66	70	66	65	64	65	70	68
ABprppppppa NA																																												
ABprppppppp NA																																												
C 1	20	19	18		17	19	19	19	18	13	17	17	17	20	17	18	18	18	17	18	18	18	20	19	18		17	19	19	19	18	13	17	17	17	20	17	18	18	18	17	18	18	18
Ca 1	25	26	25	25	28	24	26	26	23	24	24	26	26	22	24	23	23	24	24	24	24	25	25	26	25	25	28	24	26	26	23	24	24	26	26	22	24	23	23	24	24	24	24	25
Caa 1	35	37	34	31	39	36	32	31	39	32	35	30	31	30	30	30	33	30	30	29	35	34	35	37	34	31	39	36	32	31	39	32	35	30	31	30	30	30	33	30	30	29	35	34
Caaa 1	37	41	33	45	40	40	46	38	30	37	40	36	39	36	36	36	38	40	37	36	40	37	37	41	33	45	40	40	46	38	30	37	40	36	39	36	36	36	38	40	37	36	40	37
Caaaa 1	48	49	48	47	49	54	48	50	49	46	49	50	54	49	47	51	49	52	48	50	53	54	48	49	48	47	49	54	48	50	49	46	49	50	54	49	47	51	49	52	48	50	53	54
